IdProveedor;Nombre;CUIT;Direccion;Localidad;Provincia;Pais;Contacto;Telefono;Email
1;Holcim S.A.;31230911193;Ruta E53 6351;Córdoba;Córdoba;Argentina;José Di Palma;3518146481;jose.dipalma@holcim.com.ar
2;El Milagro S.R.L.;30143131304;Belgrano 370;Córdoba;Córdoba;Argentina;Claudio Martin;3516742674;claudio_martin@gmail.com
3;Palmar S.R.L.;32710836166;Piero Astori 1398;Córdoba;Córdoba;Argentina;Juan Manuel Sipowicz;3514961305;jm.sipowicz@palmarsa.com.ar
4;La Costanera;31080354113;Pasaje Colón 62;Salsipuedes;Córdoba;Argentina;Nicolás Ceballos;3543456923;nicolas.ceballos@lacostanera.com
5;Julio Donadio S.A.;31043910321;Gral. Manuel Salvio 3851;Córdoba;Córdoba;Argentina;Flavio Salas;8105553662;flavio.salas@donadio.com.ar
6;Acerco S.A.;30675241302;Av. La Voz del Interior 7299;Córdoba;Córdoba;Argentina;Miguel González;3514752002;miguel.g@acerco.com.ar
7;Framar S.R.L.;31190275460;Av. Japón 2230;Córdoba;Córdoba;Argentina;Julieta Acosta;3514995921;julieta.acosta@gmail.com
8;Maderas de misiones S.R.L.;31136667388;Av. Juan Manuel de Rosas 467;Oberá;Misiones;Argentina;Juan López;3755409383;juan.lopez@maderasdemisiones.com.ar
9;Faplac;31782842986;Justa Lima de Atucha 399;Campana;Buenos Aires;Argentina;Pedro Sánchez;3489530232;pedro.sanchez@hotmail.com
10;Industriaparket S.R.L.;32159884810;Av. Rafael Nuñez 4615;Córdoba;Córdoba;Argentina;Melisa Campetti;3513326949;melisa.campetti@indusparket.com.ar
11;Rehau;32806675983;Av. Antártida Argentina 2175;Zárate;Buenos Aires;Argentina;Javier Gómez;3487516479;javiergomez.rehau@gmail.com
12;Distribuidora Serrana;32510416143;Av. San Martín 4081;Rio Ceballos;Córdoba;Argentina;Fiorella Becchio;3543685123;fiorella.becchio@distriserrana.com.ar
13;Polo positivo S.A.;31293700330;Jerónimo Cortés 40;Córdoba;Córdoba;Argentina;Clara Nardi;3514720088;claranardi@gmail.com
14;Feyro S.A.;32815176590;Blvd. Rivadavia 3052;Córdoba;Córdoba;Argentina;Oscar Fabbiani;3514864246;o.fabbiani@feyro.com.ar
15;Herramientas del centro S.A.;31875107073;Asturias 2824;Córdoba;Córdoba;Argentina;Nicolás Oliva;3512593032;nicolasoliva@herracenter.com.ar
16;Sinteplast S.A.;32527936889;Bv. Avellaneda 2075;Rosario;Santa Fe;Argentina;Guillermo Monti;3415220400;guillermo.monti@sinteplast.com.ar
17;Scheidler Hnos S.R.L.;32575200654;Junín 501;Rosario;Santa Fe;Argentina;Pedro Bianco;3412163592;pedrobianco@scheidlerhnos.com.ar
18;Todo Baños S.R.L.;30781622704;Maestro Vidal 702;Córdoba;Córdoba;Argentina;Santiago Abregu;3516615313;abregu.santiago@gmail.com
19;Isaias Goldman S.A.;31754757321;Blvd. Bulnes 1192;Córdoba;Córdoba;Argentina;Martin Brugo;3513862886;martinbrugo@isaiasgoldman.com.ar
